2020-02-16 15:52:31,558 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-02-16 15:52:33,322 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file /Users/wangxuan/.dubbo/dubbo-registry-dubbo-admin-127.0.0.1:2181.cache, data: {*/com.alibaba.dubbo.monitor.MonitorService:*=empty://192.168.0.100/com.alibaba.dubbo.monitor.MonitorService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* consumer:///com.alibaba.dubbo.monitor.MonitorService?category=consumers&check=false&dubbo=2.6.2&interface=com.alibaba.dubbo.monitor.MonitorService&pid=14769&timestamp=1538827739817 empty://192.168.0.100/com.alibaba.dubbo.monitor.MonitorService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* empty://192.168.0.100/com.alibaba.dubbo.monitor.MonitorService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* dubbo://192.168.0.100:7070/com.alibaba.dubbo.monitor.MonitorService?anyhost=true&application=simple-monitor&delay=-1&dubbo=2.6.0&generic=false&interface=com.alibaba.dubbo.monitor.MonitorService&methods=lookup,collect&owner=dubbo&pid=12668&revision=2.6.0&side=provider&timestamp=1538718733458, */com.atguigu.gmail.service.UserService:*=empty://192.168.0.100/com.atguigu.gmail.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.atguigu.gmail.service.UserService&version=* consumer://192.168.0.103/com.atguigu.gmail.service.UserService?application=boot-order-service-gmill-customer&category=consumers&check=false&dubbo=2.6.2&interface=com.atguigu.gmail.service.UserService&loadbalance=random&methods=getUserAddressList&pid=14769&side=consumer&timestamp=1538827739783 empty://192.168.0.100/com.atguigu.gmail.service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.atguigu.gmail.service.UserService&version=* override://192.168.0.100:20880/com.atguigu.gmail.service.UserService?category=configurators&dynamic=false&enabled=true&weight=400 override://192.168.0.100:20881/com.atguigu.gmail.service.UserService?category=configurators&dynamic=false&enabled=true&weight=50 override://192.168.0.100/com.atguigu.gmail.service.UserService?category=configurators&dynamic=false&enabled=true&mock=force%3Areturn+null dubbo://192.168.0.103:20882/com.atguigu.gmail.service.UserService?anyhost=true&application=boot&dubbo=2.6.2&generic=false&interface=com.atguigu.gmail.service.UserService&methods=getUserAddressList&pid=14755&side=provider&timestamp=1538827628087}, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:33,570 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=11643&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D11643%26register.ip%3D192.168.1.103%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1581839553264&timestamp=1581839553296, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:33,652 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:33,654 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.103?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:35,129 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:52,681 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:59,042 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:59,316 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/common.css, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:59,316 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/skin.css, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:59,318 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/dubbo.css, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:59,321 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/ajax.js, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:52:59,323 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/trcolor.js, dubbo version: 2.6.2, current host: 192.168.1.103
